Lon,Lat,Clave,Edo,Est,Tmin
-99.09,19.48,GCNDF,CDMX,km 6+250 Cd. de MÈx.,5.0
-99.07,19.44,MMMX,CDMX,Aeropuerto Internacional de la Ciudad de MÈxico Cd. de MÈx.*,8.8
-99.26,19.36,SFESE,CDMX,Santa Fe Cd. de MÈx. SGIRPC*,8.9
-99.16,19.35,ENP6,CDMX,Escuela Nacional Preparatoria 6 Cd. de MÈx. UNAM*,9.6
-99.1,19.39,ENP2,CDMX,Escuela Nacional Preparatoria 2 Cd. de MÈx. UNAM*,10.7
-99.2,19.4,ENP4,CDMX,Escuela Nacional Preparatoria 4 Cd. de MÈx. UNAM*,11.6
-99.2,19.5,CCHA,CDMX,Colegio de Ciencias y Humanidades Azcapotzalco Cd. de MÈx. UNAM*,8.0
-99.06,19.38,CCHO,CDMX,Colegio de Ciencias y Humanidades Oriente Cd. de MÈx. UNAM*,9.2
-99.19,19.42,MDELREY,CDMX,Molino del Rey Cd. de MÈx SMN*,8.6
-99.12,19.27,ENP1,CDMX,Escuela Nacional Preparatoria 1 Cd. de MÈx. UNAM*,9.5
-99.16,19.15,AJUSE,CDMX,Ajusco Cd. de MÈx. SGIRPC*,6.2
-99.15,19.43,SGISE,CDMX,SGIRPC Col Ju·rez Cd. de MÈx. SGIRPC*,11.0
-99.19,19.37,ENP8,CDMX,Escuela Nacional Preparatoria 8 Cd. de MÈx. UNAM*,9.0
-99.14,19.48,CCHV,CDMX,Colegio de Ciencias y Humanidades Vallejo Cd. de MÈx. UNAM*,9.7
-99.09,19.48,ENP3,CDMX,Escuela Nacional Preparatoria 3 Cd. de MÈx. UNAM*,9.8
-99.15,19.5,CBIIDF,CDMX,Escuela de Ciencias BiolÛgicas 2 Cd. de MÈx. SMN*,12.1
-99.18,19.33,CCA,CDMX,Centro de Ciencias de la AtmÛsfera Cd. de MÈx UNAM*,8.4
-99.13,19.42,ENP7,CDMX,Escuela Nacional Preparatoria 7 Cd. de MÈx. UNAM*,10.9
-99.12,19.48,ENP9,CDMX,Escuela Nacional Preparatoria 9 Cd. de MÈx. UNAM*,10.5
-107.88,26.87,IGNCH,CHIH,San Ignacio Chih.,12.5
-107.92,27.22,URICH,CHIH,Urique Chih. SMN*,14.6
-107.91,27.22,URECH,CHIH,Urique Chih.,11.9
-105.41,27.54,LBQCH,CHIH,La Boquilla Chih.,7.1
-105.45,28.21,CDLCH,CHIH,Ciudad Delicias Chih.,7.5
-107.48,28.48,AGZCH,CHIH,Abraham Gonz·lez Chih.,-1.6
-106.09,28.66,QIJCH,CHIH,Observatorio de Chihuahua Chih.,5.8
-108.3,29.2,GPCCH,CHIH,Guapoca Chih.,-0.5
-107.38,29.56,TNTCH,CHIH,El Tintero Chih.,3.0
-104.41,29.56,OJNCH,CHIH,Ojinaga Chih.,5.2
-107.03,29.88,LJSCH,CHIH,Las Lajas Chih.,1.3
-106.4,31.74,CJZCH,CHIH,Ciudad Ju·rez Chih.,6.9
-105.38,27.41,CL2CH,CHIH,Colina hidromÈtrica Chih.,2.2
-106.77,26.23,CHNCH,CHIH,Chinat˙ Chih. SMN*,-0.8
-107.07,26.82,GCCCH,CHIH,Guachochi Chih. SMN*,-1.3
-104.91,27.11,JIMENEZCHIH,CHIH,JimÈnez Chih. SMN*,4.3
-108.54,27.39,CHICH,CHIH,ChÌnipas Chih. SMN*,7.8
-107.63,27.75,CRLCH,CHIH,Creel Chih.,-1.3
-107.99,27.86,MAGCH,CHIH,Maguarichi Chih. SMN*,7.5
-106.84,28.4,CDCUAUHTEMOC,CHIH,Ciudad CuauhtÈmoc Chih. SMN*,5.6
-106.49,28.8,MAJALCA,CHIH,Cumbres de Majalca Chih. SMN*,-4.2
-108.43,30.84,JANOS,CHIH,Janos Chih. SMN*,1.8
-105.68,26.92,PRRCH,CHIH,Observatorio de Parral Chih.,6.4
-107.85,28.95,TMCCH,CHIH,Observatorio de TemÛsachic Chih.,-1.0
-107.93,30.38,CAGCH,CHIH,Observatorio de Nuevo Casas Grandes Chih.,3.1
-105.97,28.7,MMCU,CHIH,Aeropuerto Internacional de Chihuahua Chih.*,5.9
-106.44,31.64,MMCS,CHIH,Aeropuerto Internacional de Ciudad Ju·rez Chih.*,6.1
-106.38,26.47,RVGCH,CHIH,El Vergel Chih.,-2.4
-106.39,26.47,ELVERGELSMN,CHIH,El Vergel Chih. SMN*,-2.6
-108.54,27.42,CNDCH,CHIH,ChÌnipas Chih.,7.3
-106.5,30.62,VILLAAHUMADA,CHIH,Villa Ahumada Chih. SMN*,1.6
-104.47,29.53,OJINAGASMN,CHIH,Ojinaga Chih. SMN*,3.9
-106.45,31.76,CILANORTE,CHIH,CILA Norte Chih. SGT*,5.6
-105.63,28.17,FIMCH,CHIH,Francisco I. Madero Chih.,7.4
-105.28,28.98,LLNCH,CHIH,Ing. Luis L. LeÛn Chih.,7.3
-105.69,26.93,PARRALJ,CHIH,Parral Chih. JCAS*,5.8
-106.35,26.95,BALLEZAJ,CHIH,Balleza Chih. JCAS*,5.2
-104.9,27.12,JIMENEZJ,CHIH,JimÈnez Chih. JCAS*,5.4
-108.28,27.28,TEMORISJ,CHIH,TÈmoris Chih. JCAS*,6.5
-105.17,27.7,CAMARGOJ,CHIH,Camargo Chih. JCAS*,6.8
-106.11,27.96,SATEVOJ,CHIH,SatevÛ Chih. JCAS*,5.2
-107.6,27.97,SANJUANITOJ,CHIH,San Juanito Chih. JCAS*,-4.2
-106.4,28.34,SANTAISABELJ,CHIH,Santa Isabel Chih. JCAS*,3.0
-106.88,28.39,CUAUHTEMOCJ,CHIH,CuauhtÈmoc Chih. JCAS*,1.9
-106.1,28.62,CHIHPOTB,CHIH,Chihuahua Potabilizadora Chih. JCAS*,6.9
-106.08,28.64,CHIHJCAS,CHIH,Chihuahua JCAS Chih. JCAS*,7.5
-106.08,28.68,CHIHPCIVIL,CHIH,Chihuahua PCivil Chih. JCAS*,6.7
-105.91,28.84,ALDAMAJ,CHIH,Aldama Chih. JCAS*,7.7
-107.83,28.95,TEMOSACHIJ,CHIH,TemÛsachi Chih. JCAS*,-1.9
-103.91,29.11,MBENAVIDESJ,CHIH,Manuel Benavides Chih. JCAS*,9.0
-107.39,29.18,ELTERREROJ,CHIH,El Terrero Chih. JCAS*,2.4
-108.14,29.19,MADERAJ,CHIH,Madera Chih. JCAS*,-1.5
-105.09,29.46,COYAMEJ,CHIH,Coyame Chih. JCAS*,6.1
-104.41,29.57,OJINAGAJ,CHIH,Ojinaga Chih. JCAS*,8.0
-106.51,30.62,AHUMADAJ,CHIH,Ahumada Chih. JCAS*,3.6
-108,31.09,ASCENCIONJ,CHIH,AscensiÛn Chih. JCAS*,3.0
-106.01,31.37,PRAXEDISJ,CHIH,Pr·xedis Chih. JCAS*,3.2
-106.53,31.73,DONBOSCOJ,CHIH,Don Bosco Chih. JCAS*,6.5
-106.43,31.74,IIT01J,CHIH,Instituto de IngenierÌa y TecnologÌa 01 Chih. JCAS*,6.2
-107.63,31.77,PALOMASJ,CHIH,Palomas Chih. JCAS*,2.5
-107.64,27.75,CREELJ,CHIH,Creel Chih. JCAS*,-1.9
